Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. The Sound of Music,1965,2h 52m,G,8.1,274K,63,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,https://www.imdb.com/title/tt0059742/?ref_=sr_i_1
2. Doctor Zhivago,1965,3h 17m,Approved,7.9,84K,69,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",https://www.imdb.com/title/tt0059113/?ref_=sr_i_2
3. Thunderball,1965,2h 10m,Approved,6.9,131K,64,James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.,https://www.imdb.com/title/tt0059800/?ref_=sr_i_3
4. For a Few Dollars More,1965,2h 12m,R,8.2,286K,74,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,https://www.imdb.com/title/tt0059578/?ref_=sr_i_4
5. War and Peace,1965,6h 33m,GP,8.3,8.9K,,The Russian aristocracy prepares for the French invasion on the eve of 1812.,https://www.imdb.com/title/tt0063794/?ref_=sr_i_5
6. Chimes at Midnight,1965,1h 55m,Not Rated,7.6,11K,94,"When King Henry IV ascends to the throne, his heir, the Prince of Wales, is befriended by Sir John Falstaff, an old, overweight, fun-loving habitual liar. Through Falstaff's eyes we see the reign of King Henry IV and the rise of Henry V.",https://www.imdb.com/title/tt0059012/?ref_=sr_i_6
7. Pierrot le fou,1965,1h 50m,PG-13,7.4,39K,,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.",https://www.imdb.com/title/tt0059592/?ref_=sr_i_7
8. Alphaville,1965,1h 39m,Not Rated,7.0,29K,92,An agent wrecks the main computer on another planet.,https://www.imdb.com/title/tt0058898/?ref_=sr_i_8
9. Red Beard,1965,3h 5m,Not Rated,8.3,22K,90,"In 19th-century Japan, a rough-tempered yet charitable town doctor trains a young intern.",https://www.imdb.com/title/tt0058888/?ref_=sr_i_9
10. Major Dundee,1965,2h 3m,Approved,6.7,9.1K,62,"In 1864, due to frequent Apache raids from Mexico into the U.S., a Union officer decides to illegally cross the border and destroy the Apache, using a mixed army of Union troops, Confederate POWs, civilian mercenaries, and scouts.",https://www.imdb.com/title/tt0059418/?ref_=sr_i_10
11. I Knew Her Well,1965,1h 55m,Not Rated,7.6,3.4K,,"Adriana, a naive Italian country girl, moves to Rome to become a movie star and experiences the dark side of the business.",https://www.imdb.com/title/tt0060545/?ref_=sr_i_11
12. Six in Paris,1965,1h 35m,,6.7,1.5K,,"Six vignettes set in different sections of Paris, by six directors. St. Germain des Pres (Douchet), Gare du Nord (Rouch), Rue St. Denis (Pollet), and Montparnasse et Levallois (Godard) are stories of love, flirtation and prostitution; Place d'Etoile (Rohmer) concerns a haberdasher and his umbrella; and La Muette (Chabrol), a bourgeois family and earplugs.",https://www.imdb.com/title/tt0059565/?ref_=sr_i_12
13. Shakespeare-Wallah,1965,2h,Not Rated,6.8,961,,"The family troupe of English actors in India, performing Shakespearean plays, witness India's transformation as Maharajas shift to hotel owners, sports dominate, and theater replaced by Bolliwood movies.",https://www.imdb.com/title/tt0059709/?ref_=sr_i_13
14. Who's Crazy?,1965,1h 13m,,5.9,56,77,Patients from an insane asylum find refuge at a farmhouse after escaping from a bus.,https://www.imdb.com/title/tt4775814/?ref_=sr_i_14
15. Young Cassidy,1965,1h 50m,Approved,6.5,1.4K,,"The misadventures of a young idealist man in Dublin, Ireland in the early twentieth century.",https://www.imdb.com/title/tt0059930/?ref_=sr_i_15
16. Once a Thief,1965,1h 47m,Not Rated,6.5,2.3K,,"San Francisco ex-con Eddie Pedak wants to go straight, but local cop Mike Vido, motivated by a personal vendetta, keeps harassing him while Eddie's brother Walter wants Eddie for one last major heist.",https://www.imdb.com/title/tt0059540/?ref_=sr_i_16
17. Happiness,1965,1h 20m,Not Rated,7.6,10K,,"François, a young carpenter, lives a happy, uncomplicated life with his wife Thérèse and their two small children. One day he meets Emilie, a clerk in the local post office.",https://www.imdb.com/title/tt0058985/?ref_=sr_i_17
18. The Ipcress File,1965,1h 49m,Approved,7.2,18K,66,"In London, a wisecracking spy investigates the kidnapping and brainwashing of British scientists while dealing with the constraints of his agency's bureaucracy.",https://www.imdb.com/title/tt0059319/?ref_=sr_i_18
19. The Greatest Story Ever Told,1965,4h 20m,G,6.6,12K,,"An all-star, large scale epic movie that chronicles the life and ministry of Jesus Christ.",https://www.imdb.com/title/tt0059245/?ref_=sr_i_19
"20. Faster, Pussycat! Kill! Kill!",1965,1h 23m,Not Rated,6.6,17K,65,"Three thrill-seeking go-go dancers kidnap a young girl and attempt to swindle an old rancher and his two sons out of their small fortune, but their scheme does not play out as they intended.",https://www.imdb.com/title/tt0059170/?ref_=sr_i_20
21. Sands of the Kalahari,1965,1h 59m,Approved,6.7,1.6K,,"After a small aircraft crashes in the Kalahari Desert, one of the seven passengers decides that his survival chances would increase if he eliminates the other men in the group.",https://www.imdb.com/title/tt0059675/?ref_=sr_i_21
22. Repulsion,1965,1h 45m,Not Rated,7.6,59K,91,A withdrawn manicurist who disapproves of her sister's boyfriend sinks into depression and experiences horrific visions of violence.,https://www.imdb.com/title/tt0059646/?ref_=sr_i_22
23. The Great Race,1965,2h 40m,Approved,7.2,21K,71,"In the early 20th century, heroic Leslie Gallant and his despicable rival Professor Fate engage in an epic automobile race from New York to Paris while enthusiastic suffragette Maggie Dubois enters the race to report on every step of it.",https://www.imdb.com/title/tt0059243/?ref_=sr_i_23
24. The Sons of Katie Elder,1965,2h 2m,Approved,7.1,20K,72,Ranch owner Katie Elder's four sons determine to avenge the murder of their father and the swindling of their mother.,https://www.imdb.com/title/tt0059740/?ref_=sr_i_24
25. The Collector,1965,1h 59m,Approved,7.5,12K,,A man kidnaps a woman and holds her hostage just for the pleasure of having her there.,https://www.imdb.com/title/tt0059043/?ref_=sr_i_25
26. Cat Ballou,1965,1h 37m,Approved,6.7,17K,60,A young schoolteacher turns into an outlaw to avenge her murdered father.,https://www.imdb.com/title/tt0059017/?ref_=sr_i_26
27. How to Murder Your Wife,1965,1h 58m,Approved,6.5,7.4K,,A dedicated bachelor drunkenly marries a young woman and immediately lives to regret it.,https://www.imdb.com/title/tt0058212/?ref_=sr_i_27
28. In Harm's Way,1965,2h 45m,Approved,7.3,11K,,"A Naval officer, reprimanded after Pearl Harbor, is later promoted to Rear Admiral and gets a second chance to prove himself against the Japanese.",https://www.imdb.com/title/tt0059309/?ref_=sr_i_28
29. What's New Pussycat,1965,1h 48m,Approved,6.1,11K,,A playboy who refuses to give up his hedonistic lifestyle to settle down and marry his true love seeks help from a demented psychoanalyst who is having romantic problems of his own.,https://www.imdb.com/title/tt0059903/?ref_=sr_i_29
30. Battle of the Bulge,1965,2h 47m,Approved,6.8,18K,,A dramatization of Nazi Germany's final Western Front counterattack of World War II.,https://www.imdb.com/title/tt0058947/?ref_=sr_i_30
31. Help!,1965,1h 32m,G,7.1,22K,58,"When a female member of a murderous Eastern cult sends Ringo Starr their Sacrificial ring and it gets stuck on his hand, he becomes a target of both the cult and an obsessed scientist. Can his fellow Beatles protect him?",https://www.imdb.com/title/tt0059260/?ref_=sr_i_31
32. Von Ryan's Express,1965,1h 57m,Approved,7.1,16K,,An American POW leads a group of mainly British prisoners to escape from the Germans in WWII.,https://www.imdb.com/title/tt0059885/?ref_=sr_i_32
33. The Spy Who Came in from the Cold,1965,1h 52m,Approved,7.5,20K,,"Instead of coming in from the Cold War, British agent Alec Leamas chooses to face another mission.",https://www.imdb.com/title/tt0059749/?ref_=sr_i_33
34. The Cincinnati Kid,1965,1h 42m,TV-14,7.2,19K,67,An up-and-coming poker player tries to prove himself in a high-stakes match against a long-time master of the game.,https://www.imdb.com/title/tt0059037/?ref_=sr_i_34
35. That Darn Cat!,1965,1h 56m,G,6.7,8.3K,71,"After a kidnapped bank teller uses a neighbor's wandering cat to send an S.O.S., the F.B.I. assigns a cat-allergic Agent to the case.",https://www.imdb.com/title/tt0059793/?ref_=sr_i_35
