Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Pinocchio,1940,1h 28m,Approved,7.5,166K,99,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",https://www.imdb.com/title/tt0032910/?ref_=sr_i_1
2. Fantasia,1940,2h 4m,G,7.7,107K,96,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists.",https://www.imdb.com/title/tt0032455/?ref_=sr_i_2
3. The Philadelphia Story,1940,1h 52m,Approved,7.8,76K,96,"After a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",https://www.imdb.com/title/tt0032904/?ref_=sr_i_3
4. From Mayerling to Sarajevo,1940,1h 29m,,6.7,319,,"In the late 1800's, Franz Ferdinand, heir to the Austro-Hungarian empire, falls for Sophie Chotek, a Czech countess. He's already a problem to the Crown because of his political ideas; this love affair with someone not of royal blood breeches protocol. The Crown allows the union only after the couple agrees to a morganatic marriage. The emperor further neutralizes Franz by making him inspector general of the army, sending him afield for months at a time. In June of 1914, fearing for his safety, Sophie seeks permission to accompany Franz to Sarajevo; protocol dictates that no army troops attend Franz while she is present. An assassin strikes. Their deaths spark World War I.",https://www.imdb.com/title/tt0032384/?ref_=sr_i_4
5. Rebecca,1940,2h 10m,Approved,8.1,154K,86,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,https://www.imdb.com/title/tt0032976/?ref_=sr_i_5
6. Pride and Prejudice,1940,1h 58m,Approved,7.4,9.6K,84,"The arrival of wealthy bachelors in town causes an uproar when families with single daughters aggressively seek engagements, including the Bennet family, with five eligible daughters.",https://www.imdb.com/title/tt0032943/?ref_=sr_i_6
7. The Grapes of Wrath,1940,2h 9m,Approved,8.1,104K,96,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",https://www.imdb.com/title/tt0032551/?ref_=sr_i_7
8. The Great Dictator,1940,2h 5m,G,8.4,248K,,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,https://www.imdb.com/title/tt0032553/?ref_=sr_i_8
9. The Fighting 69th,1940,1h 30m,Approved,6.6,2.1K,,"Although loudmouthed braggart Jerry Plunkett alienates his comrades and officers, Father Duffy, the regimental chaplain, has faith that he'll prove himself in the end.",https://www.imdb.com/title/tt0032467/?ref_=sr_i_9
10. His Girl Friday,1940,1h 32m,Approved,7.8,65K,,"A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from quitting and remarrying, using an exclusive interview with a death row convict as an enticement to buy himself some time to win her back.",https://www.imdb.com/title/tt0032599/?ref_=sr_i_10
