Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Moana,1926,1h 25m,Not Rated,6.8,781,,Filmmaker Robert J. Flaherty presents a docufictional account of a family living in a Samoan village in the early 1920s.,https://www.imdb.com/title/tt0017162/?ref_=sr_i_1,"['Frances H. Flaherty', 'Robert J. Flaherty', 'Julian Johnson']","['Frances H. Flaherty', 'Robert J. Flaherty']","[""Ta'avale"", ""Fa'amgase"", ""T'ugaita"", 'Tama', ""Pe'a"", 'Leupenga', 'Emma Hudson']",,"$2,274","$2,993","$2,993","January 7, 1926",['United States'],"[""Safune, Savai'i, Samoa""]",['Robert Flaherty Productions Inc.'],,['Documentary'],"['None', 'English', 'Samoan']"
2. The General,1926,1h 18m,Passed,8.1,102K,,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",https://www.imdb.com/title/tt0017925/?ref_=sr_i_2,"['Buster Keaton', 'Clyde Bruckman', 'Al Boasberg']","['Clyde Bruckman', 'Buster Keaton']","['Buster Keaton', 'Marion Mack', 'Glen Cavender', 'Jim Farley', 'Frederick Vroom', 'Frank Barnes', 'Charles Henry Smith', 'Joe Keaton', 'Mike Donlin', 'Tom Nawn']","$750,000 (estimated)",,"$1,344",,"January 2, 1927",['United States'],"['Cottage Grove, Oregon, USA']","['Buster Keaton Productions', 'Joseph M. Schenck Productions']","Awards, 3 wins & 1 nomination total","['Farce', 'Slapstick', 'Action', 'Adventure', 'Comedy', 'Drama', 'War']",['None']
3. Battling Butler,1926,1h 17m,Passed,7.0,4.1K,,A love-struck weakling must pretend to be boxer in order to gain respect from the family of the girl he loves.,https://www.imdb.com/title/tt0016630/?ref_=sr_i_3,"['Paul Gerard Smith', 'Al Boasberg', 'Charles Henry Smith']",['Buster Keaton'],"['Buster Keaton', 'Snitz Edwards', ""Sally O'Neil"", 'Walter James', 'Budd Fine', 'Francis McDonald', ""Mary O'Brien"", 'Tom Wilson', 'Eddie Borden', 'Lillian Lawrence']",,,,"$702,114","September 19, 1926",['United States'],"['Olympic Auditorium - 1801 S. Grand Avenue, Downtown, Los Angeles, California, USA (boxing arena)']",['Buster Keaton Productions'],"Awards, 1 nomination total","['Boxing', 'Slapstick', 'Comedy', 'Romance', 'Sport']","['None', 'English']"
4. Faust,1926,1h 47m,Not Rated,8.1,17K,,The demon Mephisto wagers with God that he can corrupt a mortal man's soul.,https://www.imdb.com/title/tt0016847/?ref_=sr_i_4,"['Gerhart Hauptmann', 'Hans Kyser', 'Johann Wolfgang von Goethe']",['F.W. Murnau'],"['Gösta Ekman', 'Emil Jannings', 'Camilla Horn', 'Frida Richard', 'William Dieterle', 'Yvette Guilbert', 'Eric Barclay', 'Hanna Ralph', 'Werner Fuetterer', 'Hans Brausewetter']",,,,,"December 6, 1926",['Germany'],"['Ufa-Atelier, Berlin-Tempelhof, Berlin, Germany']",['Universum Film (UFA)'],"Awards, 3 wins total","['Dark Fantasy', 'Period Drama', 'Psychological Drama', 'Psychological Horror', 'Supernatural Fantasy', 'Supernatural Horror', 'Tragedy', 'Drama', 'Fantasy', 'Horror']","['German', 'English']"
5. The Great Gatsby,1926,1h 20m,Passed,,,,"Nick Carraway, a young Midwesterner now living on Long Island, finds himself fascinated by the mysterious past and lavish lifestyle of his neighbour, the nouveau riche Jay Gatsby. He is drawn into Gatsby's circle, becoming a witness to obsession and tragedy.",https://www.imdb.com/title/tt0016938/?ref_=sr_i_5,"['F. Scott Fitzgerald', 'Elizabeth Meehan', 'Becky Gardiner']",['Herbert Brenon'],"['Warner Baxter', 'Lois Wilson', 'Neil Hamilton', 'Georgia Hale', 'William Powell', 'Hale Hamilton', 'George Nash', 'Carmelita Geraghty', 'Eric Blore', 'Gunboat Smith']",,,,,"August 27, 1926",['United States'],"['Paramount Studios, Astoria, Queens, New York City, New York, USA (General locations)']",['Paramount Pictures'],"Awards, 1 win total","['Tragedy', 'Drama']",['English']
6. A Page of Madness,1926,1h 10m,Not Rated,7.3,4.9K,,A man takes a job at an asylum with hopes of freeing his imprisoned wife.,https://www.imdb.com/title/tt0017048/?ref_=sr_i_6,"['Yasunari Kawabata', 'Teinosuke Kinugasa', 'Minoru Inuzuka']",['Teinosuke Kinugasa'],"['Masuo Inoue', 'Ayako Iijima', 'Yoshie Nakagawa', 'Hiroshi Nemoto', 'Misao Seki', 'Minoru Takase', 'Eiko Minami', 'Kyôsuke Takamatsu', 'Tetsu Tsuboi', 'Shintarô Takiguchi']","¥20,000 (estimated)",,,,January 1975,['Japan'],"['Kyoto, Japan (Studio)']","['Kinugasa Productions', 'National Film Art', 'Shin Kankaku-ha Eiga Renmei Productions']",,"['Drama', 'Horror', 'Thriller']","['None', 'Japanese']"
7. Flesh and the Devil,1926,1h 52m,Passed,7.6,4.8K,,Childhood friends are torn apart when one of them marries the woman the other fiercely loves.,https://www.imdb.com/title/tt0016884/?ref_=sr_i_7,"['Benjamin Glazer', 'Hermann Sudermann', 'Marian Ainslee']",['Clarence Brown'],"['John Gilbert', 'Greta Garbo', 'Lars Hanson', 'Barbara Kent', 'William Orlamond', 'George Fawcett', 'Eugenie Besserer', 'Marc McDermott', 'Marcelle Corday', 'Margie Angus']","$373,000 (estimated)",,,,"December 25, 1926",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']",['Metro-Goldwyn-Mayer (MGM)'],"Awards, 3 wins total","['Tragic Romance', 'Drama', 'Romance']","['English', 'German', 'Swedish']"
8. The Scarlet Letter,1926,1h 55m,Passed,7.6,2.1K,,"After having a child out of wedlock, a young Puritan woman is pressured to reveal the name of her lover.",https://www.imdb.com/title/tt0017350/?ref_=sr_i_8,"['Nathaniel Hawthorne', 'Frances Marion']",['Victor Sjöström'],"['Lillian Gish', 'Lars Hanson', 'Henry B. Walthall', 'Karl Dane', 'William H. Tooker', 'Marcelle Corday', 'Fred Herzog', 'Jules Cowles', 'Mary Hawes', 'Joyce Coad']","$430,290 (estimated)",,,,"January 8, 1927",['United States'],"['Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA']",['Metro-Goldwyn-Mayer (MGM)'],"Awards, 1 win total",['Drama'],['English']
9. The Holy Mountain,1926,1h 40m,,6.6,1K,,"Diotima meets Karl in the mountains where they fall in love and have an affair. When Karl's friend, Vigo, meets her, he mistakenly believes she is in love with him. Karl then believes that she is betraying him with his friend.",https://www.imdb.com/title/tt0016953/?ref_=sr_i_9,['Arnold Fanck'],"['Arnold Fanck', 'Leni Riefenstahl']","['Leni Riefenstahl', 'Luis Trenker', 'Ernst Petersen', 'Hannes Schneider', 'Friedrich Schneider', 'Frida Richard', 'Leontine Sagan']",,,,,November 1926,['Germany'],"['Atelier Staaken, Berlin, Germany (Studio)']",['Berg- und Sportfilm'],,['Drama'],"['German', 'English']"
10. The Sorrows of Satan,1926,1h 30m,Passed,6.2,322,,"Geoffrey, a young and impoverished writer, is desperately in love with Mavis, who lives at his boardinghouse and is also pursuing a writing career. Unable to marry her because of his poverty, in his anger he curses God for abandoning him. Soon Geoffrey meets Prince Lucio de Rimanez, a wealthy, urbane gentleman who informs Geoffrey that he has inherited a fortune, but that he must place himself in the Prince's hands in order to enjoy the fruits of his inheritance. What Geoffrey doesn't know is that Prince Lucio is actually Satan, who is using Geoffrey as an experiment to show God that he can corrupt anybody.",https://www.imdb.com/title/tt0017419/?ref_=sr_i_10,"['Marie Corelli', 'John Russell', 'Forrest Halsey']",['D.W. Griffith'],"['Adolphe Menjou', 'Ricardo Cortez', 'Carol Dempster', 'Lya De Putti', 'Ivan Lebedeff', 'Marcia Harris', ""Lawrence D'Orsay"", 'Nellie Savage', 'Dorothy Hughes', 'Josephine Dunn']","$971,260 (estimated)",,,,"October 12, 1926",['United States'],"['Long Island, New York, USA']","['D.W. Griffith Productions', 'Paramount Pictures']","Awards, 2 wins total","['Drama', 'Romance']",['English']
11. Tell It to the Marines,1926,1h 43m,Passed,7.1,1.7K,,A gruff Marine sergeant and a handsome new recruit compete for the affection of a nurse.,https://www.imdb.com/title/tt0018471/?ref_=sr_i_11,"['Richard Schayer', 'Joseph Farnham']",['George W. Hill'],"['Lon Chaney', 'William Haines', 'Eleanor Boardman', 'Eddie Gribbon', 'Carmel Myers', 'Warner Oland', 'Mitchell Lewis', 'Frank Currier', 'Maurice E. Kains', 'Patricia Avery']","$433,000 (estimated)",,,,"January 29, 1927",['United States'],"['Marine Corps Recruit Depot San Diego, San Diego, California, USA (personal knowledge)']",['Metro-Goldwyn-Mayer (MGM)'],"Awards, 3 wins total","['Comedy', 'Drama', 'Romance', 'War']","['None', 'English']"
